笔记名称,笔记链接,发布日期,观看量,评论数,点赞量,分享数,收藏数,直接涨粉数,标签,类别
Coding 面试我遇到原题了？!,https://www.xiaohongshu.com/explore/6529053d000000001a015042,10/13/2023,554,0,0,1,0,0,#python #python学习 #coding #编程 #自学编程 #Python入门学习 #coding面试#湾区 #湾区求职 #大厂求职 #DS #DA #北美求职 #数据分析 #数据分析求职 #数据科学 #北美data求职 #Techlent转行数据科学,课程宣传
教育统计学应届博士生如何成为银行业 DS,https://www.xiaohongshu.com/explore/6524f46f0000000023019e89,10/15/2023,471,0,0,1,1,1,#应届博士找工作 #应届生工作 #博士 #应届博士 #北美data求职 #北美求职 #教育统计学 #银行工作 #数据科学 #Techlent转行数据科学,直播通知
零基础友好！数据分析训练营推荐,https://www.xiaohongshu.com/explore/652e49fe000000001a020c83,10/17/2023,673,5,0,0,3,4,#数据分析 #DA #dataanalyst #数据分析求职 #数据分析我在行 #北美data求职 #Python数据分析 #数据分析学习 #数据分析转行 #Techlent转行数据科学,课程宣传
广告推荐系统的具体应用都有哪些？,https://www.xiaohongshu.com/explore/6530940a000000002303945d,10/19/2023,576,0,1,0,1,0,#数据科学 #data #北美data求职 #recommendsystems #推荐系统 #广告推荐系统 #estimation #Techlent转行数据科学,干货分享
应届国际生PhD上岸美国银行DS 求职经验分享,https://www.xiaohongshu.com/explore/65323e9d0000000025023668,10/20/2023,617,0,1,1,0,0,#找工作别走弯路 #应届生工作 #应届生找工作 #2023应届生 #北美data求职 #23NG #23NG北美 #newgrad #newgrad找工作 #应届博士找工作 #留学生求职 #美国留学生 #秋招 #23秋招 #博士生日常 #PhD #datascience #数据科学 #Techlent转行数据科学,经验分享
Marketing Data Scientist 必须掌握的知识,https://www.xiaohongshu.com/explore/65361e780000000023039784,10/23/2023,612,0,3,0,2,3,"#数据科学
 #DS #marketing #datascience #北美data求职 #data #DataScientist #知识科普 #职场日常 #打工人日常 #Techlent转行数据科学",干货分享
休斯顿数据科学家线下交流会,https://www.xiaohongshu.com/explore/653680340000000025016981,10/23/2023,2102,5,19,10,7,14,"#休斯顿生活
  #休斯顿大学 #休斯顿 #Rice大学 #休斯顿留学生 #数据科学 #数据分析 #休斯顿华人",线下交流会
备战春招必看！数据科学一站式训练营推荐,https://www.xiaohongshu.com/explore/65376e50000000002202f457,10/24/2023,511,0,1,0,0,0,#数据科学 #春招 #留学生求职 #北美春招#北美data求职 #DS #data #datascience #北美求职 #24春招 #Techlent转行数据科学,报名截止日期
入职美国银行业 DS 半年，我都学到了什么？,https://www.xiaohongshu.com/explore/6538d293000000002500a2b6,10/25/2023,871,1,3,0,5,1,#今日份工作小结 #DS #数据科学 #北美data求职 #北美留学 #银行 #银行工作 #留学生日常 #美国银行 #北美DS #datascience #Techlent转行数据科学,经验分享
DS 线下交流会！休斯顿地区的同学看过来！,https://www.xiaohongshu.com/explore/653b5a560000000023039f71,10/27/2023,542,0,0,0,0,0,#休斯顿 #休斯顿生活 #休斯顿大学 #Rice大学 #数据科学 #北美data求职 #数据分析 #DS #DA #应届生找工作 #留学生 #留学生求职 #DataScience #Techlent转行数据科学,线下交流会
最后10天！数据科学求职训练营,https://www.xiaohongshu.com/explore/653b737e000000002202f473,10/28/2023,507,0,2,0,0,0,#数据科学 #北美data求职 #DS #coding #Python #留学生求职 #datascience #北美data #北美data工作 #Techlent转行数据科学,报名截止日期
DS求职推荐!数据科学训练营在线答疑会,https://www.xiaohongshu.com/explore/653f66500000000004038c30,10/23/2023,547,0,0,1,1,0,#数据科学 #北美data求职 #留学生求职 #DS #datascience #博士申请 #博士求职 #北美求职 #北美NG #Techlent转行数据科学,课程直播预告
北美 DS 薪资大揭秘！跟你想象中的一样吗？,https://www.xiaohongshu.com/explore/6540b2d000000000250088f3,10/31/2023,1112,0,2,1,3,0,#DS #数据科学 #北美data求职 #留学生求职 #转行数据科学家 #数据科学求职 #北美数据科学 #datascience #Techlent转行数据科学,干货分享
